travel_order_sentence,start,end,middle
La fête à Rue Gît-Le-Coeur est annulé je pars de Rue Henri Verneuil pour rejoindre Rue de Villafranca,Rue Henri Verneuil,Rue de Villafranca,
Je dois poser quelque chose à Aubin-St-Vaast entre Chambly et Poliénas,Chambly,Poliénas,Aubin-St-Vaast
Je voudrais aller à Rue Caron Voie Co/12 plutôt et je partirai de Voie Ar/17,Voie Ar/17,Voie Co/12,
Hier c'était Passage d'Eupatoria aujourd'hui c'est Voie Cd/20 escale Rue Hermann-Lachapelle terminus Rue Quincampoix,Voie Cd/20,Rue Quincampoix,Rue Hermann-Lachapelle
Je pars de St-Pol-de-Léon dans une heure pause déjeuner à Vitry-le-François pour arriver à Meximieux-Pérouges ce soir,St-Pol-de-Léon,Meximieux-Pérouges,Vitry-le-François
Je vais de Voie Ee/20 à Rue Jeanne Jugan en prenant le chemin qui passe par Rue Louis Lumière,Voie Ee/20,Rue Jeanne Jugan,Rue Louis Lumière
Je dois aller chez ma mère là elle habite à Place Gabriel Kaspereit mais là je suis à Voie Cd/20 et avant ça je dois passer devant un magasin qui est à Place Fréhel,Voie Cd/20,Place Gabriel Kaspereit,Place Fréhel
Aller à Pontrieux en empruntant le parcours de St-Pierre-du-Vauvray Les Mais en partant de Vélines,Vélines,Pontrieux,Les Mais
Je veux aller de Etevaux à Mayet,Etevaux,Mayet,
Comment on va de Rue de la Jussienne à Pont au Double,Rue de la Jussienne,Pont au Double,
Ranspach Hannon de Servon melzicourt vers Wattignies la victoire,Servon melzicourt,Wattignies la victoire,
Pas par Rue de l'Exposition à Rue Lecuirot mais par Rue Bréa en passant par Rue des Orfèvres pour finir à Rue du Chalet mais du coup je ne vais pas à Rue Marie Stuart,Rue Bréa,Rue du Chalet,Rue des Orfèvres
Schopperten destination Montezic,Schopperten,Montezic,
On part de Rue du Père Corentin on s'arrête en face de Rue Edmond About puis Square Claude Debussy,Rue du Père Corentin,Square Claude Debussy,Rue Edmond About
